epoch,avg_pwr0,loss,mse0,psnr0,psnr_fb0,psnr_metric,val_avg_pwr0,val_loss,val_mse0,val_psnr0,val_psnr_fb0,val_psnr_metric
0,1.0,0.0518588162958622,0.0518588162958622,13.875104904174805,13.875104904174805,13.875104904174805,1.0,0.029987767338752747,0.029508214443922043,16.607511520385742,16.607511520385742,16.607511520385742
1,1.0,0.021776607260107994,0.021776607260107994,18.06013298034668,18.06013298034668,18.06013298034668,1.0,0.021332161501049995,0.021036548539996147,18.16518211364746,18.16518211364746,18.16518211364746
2,1.0,0.012056002393364906,0.012056004256010056,20.522424697875977,20.522424697875977,20.522424697875977,0.9999999403953552,0.011573550291359425,0.011418748646974564,20.81960678100586,20.81960678100586,20.81960678100586
3,1.0,0.007671998348087072,0.007671997416764498,22.468015670776367,22.468015670776367,22.468015670776367,0.9999999403953552,0.011164719238877296,0.011026877909898758,21.072406768798828,21.072406768798828,21.072406768798828
4,1.0,0.007102140691131353,0.007102140691131353,22.987224578857422,22.987224578857422,22.987224578857422,0.9999999403953552,0.010486714541912079,0.01032019592821598,21.683910369873047,21.683910369873047,21.683910369873047
5,1.0,0.006223734468221664,0.006223734468221664,23.696863174438477,23.696863174438477,23.696863174438477,1.0,0.01124600786715746,0.01108594611287117,21.080211639404297,21.080211639404297,21.080211639404297
6,1.0,0.007203636225312948,0.007203636225312948,23.015356063842773,23.015356063842773,23.015356063842773,0.9999999403953552,0.00936591625213623,0.009196868166327477,22.359394073486328,22.359394073486328,22.359394073486328
7,1.0,0.006706814281642437,0.006706814281642437,23.350671768188477,23.350671768188477,23.350671768188477,1.0,0.009549873881042004,0.009403332136571407,21.761777877807617,21.761777877807617,21.761777877807617
8,1.0,0.006327981129288673,0.006327981129288673,23.534761428833008,23.534761428833008,23.534761428833008,1.0,0.011715141125023365,0.011572808027267456,20.7346248626709,20.734621047973633,20.7346248626709
9,1.0,0.005726485047489405,0.005726485047489405,24.076265335083008,24.076265335083008,24.076265335083008,1.0,0.008465537801384926,0.008305788971483707,22.8841495513916,22.8841495513916,22.8841495513916
10,1.0,0.005305211991071701,0.005305211991071701,24.417543411254883,24.417543411254883,24.417543411254883,0.9999999403953552,0.008543822914361954,0.008401422761380672,22.510942459106445,22.510942459106445,22.510942459106445
11,1.0,0.005373136606067419,0.005373136606067419,24.423524856567383,24.423524856567383,24.423524856567383,0.9999999403953552,0.008852343074977398,0.008716420270502567,22.2443790435791,22.2443790435791,22.2443790435791
12,1.0,0.005039511248469353,0.005039511248469353,24.745893478393555,24.745891571044922,24.745893478393555,1.0,0.00760265626013279,0.007489440497010946,22.936050415039062,22.936050415039062,22.936050415039062
13,1.0,0.0049780248664319515,0.0049780248664319515,24.727243423461914,24.727243423461914,24.727243423461914,0.9999999403953552,0.007461142726242542,0.007353907451033592,22.997417449951172,22.997417449951172,22.997417449951172
14,1.0,0.004928986541926861,0.004928986541926861,24.825029373168945,24.825029373168945,24.825029373168945,1.0,0.007378939539194107,0.007290864363312721,22.78264617919922,22.78264617919922,22.78264617919922
15,1.0,0.005495099350810051,0.005495099350810051,24.129758834838867,24.129758834838867,24.129758834838867,1.0,0.007202361710369587,0.007102675270289183,23.099285125732422,23.099285125732422,23.099285125732422
16,1.0,0.004868347197771072,0.004868347197771072,24.90106201171875,24.90106201171875,24.90106201171875,1.0,0.006419990677386522,0.0063392543233931065,23.325963973999023,23.325963973999023,23.325963973999023
17,1.0,0.004848060663789511,0.004848060663789511,24.897842407226562,24.897842407226562,24.897842407226562,1.0,0.007146209012717009,0.007061142008751631,22.68429183959961,22.68429183959961,22.68429183959961
18,1.0,0.004893180914223194,0.004893180448561907,24.782062530517578,24.782062530517578,24.782062530517578,1.0,0.006568165495991707,0.006486343685537577,22.857847213745117,22.857847213745117,22.857847213745117
19,1.0,0.0044332630932331085,0.0044332630932331085,25.363636016845703,25.363636016845703,25.363636016845703,0.9999999403953552,0.005585942417383194,0.005541269667446613,23.671384811401367,23.671384811401367,23.671384811401367
20,1.0,0.0046791876666247845,0.004679188132286072,25.03679656982422,25.03679656982422,25.03679656982422,1.0,0.005465415772050619,0.005404130555689335,23.82837677001953,23.82837677001953,23.82837677001953
21,1.0,0.004650167655199766,0.004650167655199766,25.019615173339844,25.019615173339844,25.019615173339844,0.9999999403953552,0.0053091468289494514,0.00526901800185442,23.842613220214844,23.842613220214844,23.842613220214844
22,1.0,0.00441373186185956,0.004413730930536985,25.337080001831055,25.337080001831055,25.337080001831055,0.9999999403953552,0.0051468717865645885,0.005122493486851454,23.884654998779297,23.884654998779297,23.884654998779297
23,1.0,0.004427804145962,0.004427804145962,25.487409591674805,25.487409591674805,25.487409591674805,0.9999999403953552,0.005189544055610895,0.005138853564858437,24.120935440063477,24.120935440063477,24.120935440063477
24,1.0,0.0042042299173772335,0.0042042299173772335,25.612014770507812,25.612014770507812,25.612014770507812,1.0,0.005341638810932636,0.0052981567569077015,23.909658432006836,23.909658432006836,23.909658432006836
25,1.0,0.004353394731879234,0.004353394266217947,25.434171676635742,25.434171676635742,25.434171676635742,0.9999999403953552,0.004751807078719139,0.0047209481708705425,24.278087615966797,24.278085708618164,24.278087615966797
