model,image,image_sha256,draw,noise_seed,snr_db,payload_uses,scale_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,lpips,ms_ssim,diffusion_nfe,diffusion_seconds
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,6,3704916121,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0033982167951762676,24.687490463256836,0.24156078696250916,0.9223575592041016,93,4.049851624004077
CDDM_author_JSCC_snr13_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,6,3704916121,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.003481215564534068,24.582691192626953,0.23445385694503784,0.9196304082870483,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,6,3704916121,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0036872108466923237,24.333019256591797,0.24590745568275452,0.9243735074996948,0,0.0
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,7,1240141978,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0033922488801181316,24.69512176513672,0.24006830155849457,0.923668384552002,93,4.054652958991937
CDDM_author_JSCC_snr13_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,7,1240141978,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.003472755430266261,24.593257904052734,0.23292088508605957,0.9198569655418396,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,7,1240141978,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.003713021520525217,24.30272674560547,0.25890809297561646,0.9216498136520386,0,0.0
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,8,1760099060,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0033624633215367794,24.73342514038086,0.2383309155702591,0.9246271848678589,93,4.086942630005069
CDDM_author_JSCC_snr13_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,8,1760099060,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0034581057261675596,24.611616134643555,0.2310270518064499,0.9217528104782104,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,8,1760099060,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0036610355600714684,24.36396026611328,0.25409114360809326,0.9250563979148865,0,0.0
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,9,1557963217,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0034080601762980223,24.674928665161133,0.24061551690101624,0.9240243434906006,93,4.030471497040708
CDDM_author_JSCC_snr13_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,9,1557963217,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0035448072012513876,24.504074096679688,0.2331901639699936,0.921110987663269,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,9,1557963217,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.003700302680954337,24.317626953125,0.25136977434158325,0.9244260191917419,0,0.0
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,0,1847583015,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009160723420791328,30.38070297241211,0.2490864098072052,0.9378542900085449,93,4.064579158031847
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,0,1847583015,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010418720776215196,29.821855545043945,0.2341661900281906,0.9343966841697693,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,0,1847583015,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009752510813996196,30.108835220336914,0.26674145460128784,0.934937596321106,0,0.0
