split,image,image_sha256,snr_db,draw,noise_seed,subset,groups,payload_uses,scale_uses,feedback_uses,total_uses,cbr_total,mse,psnr,ms_ssim,lpips,batched_decoder_seconds_per_subset
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,3,2,6144.0,96,12,6252.0,0.03179931640625,0.0002463275450281799,36.084869384765625,0.9848054647445679,0.12245674431324005,0.003940185997635126
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,4,1,5120.0,64,12,5196.0,0.02642822265625,0.0002462588017806411,36.08608627319336,0.9847131967544556,0.12284323573112488,0.003906211000867188
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,5,2,6144.0,96,12,6252.0,0.03179931640625,0.00024664163356646895,36.07933807373047,0.984728991985321,0.12277045100927353,0.003906211000867188
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,6,2,6144.0,96,12,6252.0,0.03179931640625,0.00024629366816952825,36.08546829223633,0.9847800135612488,0.12252973020076752,0.003906211000867188
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,7,3,7168.0,128,12,7308.0,0.03717041015625,0.00024670042330399156,36.078304290771484,0.9847918748855591,0.1224094033241272,0.003906211000867188
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,8,1,5120.0,64,12,5196.0,0.02642822265625,0.00024594381102360785,36.091644287109375,0.9847420454025269,0.12283667922019958,0.0038876280013937503
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,9,2,6144.0,96,12,6252.0,0.03179931640625,0.0002463028358761221,36.085304260253906,0.9847569465637207,0.12276004254817963,0.0038876280013937503
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,10,2,6144.0,96,12,6252.0,0.03179931640625,0.0002459891838952899,36.09083938598633,0.9848045110702515,0.1225091740489006,0.0038876280013937503
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,11,3,7168.0,128,12,7308.0,0.03717041015625,0.00024637230671942234,36.084083557128906,0.984818160533905,0.12242097407579422,0.0038876280013937503
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,12,2,6144.0,96,12,6252.0,0.03179931640625,0.00024630065308883786,36.085350036621094,0.9847292304039001,0.12280820310115814,0.00405184825649485
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,13,3,7168.0,128,12,7308.0,0.03717041015625,0.00024669533013366163,36.078392028808594,0.9847431182861328,0.12268642336130142,0.00405184825649485
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,14,3,7168.0,128,12,7308.0,0.03717041015625,0.00024636019952595234,36.084293365478516,0.984790563583374,0.12250339239835739,0.00405184825649485
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,1,428208411,15,4,8192.0,160,12,8364.0,0.04254150390625,0.00024677885812707245,36.07692337036133,0.9848033785820007,0.12237668037414551,0.00405184825649485
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,2,2155552639,0,0,4096.0,32,10,4138.0,0.021046956380208332,0.00024685816606506705,36.07552719116211,0.9847528338432312,0.12159675359725952,0.004080660495674238
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,2,2155552639,1,1,5120.0,64,12,5196.0,0.02642822265625,0.00024780520470812917,36.05889892578125,0.9849717020988464,0.12125702947378159,0.004080660495674238
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,2,2155552639,2,1,5120.0,64,12,5196.0,0.02642822265625,0.00024724507238715887,36.0687255859375,0.9850348234176636,0.12088405340909958,0.004080660495674238
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,2,2155552639,3,2,6144.0,96,12,6252.0,0.03179931640625,0.0002479110553395003,36.057044982910156,0.9850341081619263,0.12089534848928452,0.004080660495674238
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,2,2155552639,4,1,5120.0,64,12,5196.0,0.02642822265625,0.0002479285467416048,36.05673599243164,0.9849622249603271,0.12134349346160889,0.003991677745943889
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,2,2155552639,5,2,6144.0,96,12,6252.0,0.03179931640625,0.0002486089360900223,36.04483413696289,0.9849615097045898,0.12130822241306305,0.003991677745943889
oracle_gate,0821.png,0eb14dfcb1d21cb5d3437dc5135c458154cd7fabed8147fbdc415d3ef671c14b,10.0,2,2155552639,6,2,6144.0,96,12,6252.0,0.03179931640625,0.0002480253460817039,36.0550422668457,0.9850233793258667,0.12095644325017929,0.003991677745943889
