step,loss,grad_norm,lr,elapsed_s
1,0.0017832014709711075,0.001016136258840561,3.999997779339467e-06,1.3601875305175781
2,0.002412957139313221,0.0050452351570129395,7.999982234726691e-06,1.43721342086792
3,0.0015373681671917439,0.00027072400553151965,1.199994004226422e-05,1.5157451629638672
4,0.0008873857441358268,0.00045547288027592003,1.599985787816419e-05,1.5899755954742432
5,0.002032550750300288,0.000585328321903944,1.999972241880311e-05,1.6725099086761475
6,0.0013626718427985907,0.0005181703600101173,2.3999520340776656e-05,1.7445621490478516
7,0.0016706662718206644,0.0003910612140316516,2.799923832095448e-05,1.8183181285858154
8,0.0020724141504615545,0.0008977276738733053,3.199886303653496e-05,1.893822193145752
9,0.001020991476252675,0.0002880362735595554,3.599838116510001e-05,1.9696903228759766
10,0.0028176377527415752,0.0016697942046448588,3.999777938466989e-05,2.045536518096924
11,0.0021803940180689096,0.0016852401895448565,4.399704437375797e-05,2.121257781982422
12,0.002189348917454481,0.0014272115658968687,4.7996162811425474e-05,2.1934902667999268
13,0.001383510883897543,0.00035547075094655156,5.199512137733636e-05,2.2684032917022705
14,0.0011002954561263323,0.0003186422400176525,5.5993906751812006e-05,2.353053092956543
15,0.0021452330984175205,0.0010815601563081145,5.999250561588602e-05,2.431349515914917
16,0.0013128132559359074,0.0003825653693638742,6.399090465135905e-05,2.5109078884124756
17,0.0024309454020112753,0.0005171594675630331,6.798909054085349e-05,2.587683916091919
18,0.0013417871668934822,0.002387735527008772,7.198704996786832e-05,2.7213094234466553
19,0.004341532941907644,0.001407024567015469,7.598476961683381e-05,2.8015458583831787
20,0.0014730257680639625,0.0004904886009171605,7.998223617316634e-05,2.8775243759155273
21,0.0027104157488793135,0.0006474272231571376,8.39794363233231e-05,2.9557461738586426
22,0.0017459597438573837,0.00047828242531977594,8.797635675485694e-05,3.136244773864746
23,0.0021330041345208883,0.0014343165094032884,9.197298415647096e-05,3.212615489959717
24,0.001621057279407978,0.0007952501764521003,9.596930521807346e-05,3.2982699871063232
25,0.0027885965537279844,0.0034065572544932365,9.996530663083255e-05,3.3722667694091797
26,0.0018013578373938799,0.3051672875881195,0.00010396097508723088,3.532766103744507
27,0.0020226207561790943,0.002666654298081994,0.00010795629728112052,3.6164050102233887
28,0.001802691607736051,0.0005642550531774759,0.0001119512599077775,3.6890645027160645
29,0.000906819012016058,0.00022125820396468043,0.00011594584966395667,3.7706351280212402
30,0.0014030137099325657,0.0021858569234609604,0.0001199400532479464,3.9010820388793945
31,0.000675672315992415,0.0002969624474644661,0.0001239338573596232,3.976670026779175
32,0.0018182088388130069,0.0008511966443620622,0.00012792724870050662,4.0605385303497314
33,0.0013611090835183859,0.00036443627323023975,0.00013192021397381374,4.134052276611328
34,0.0022260784171521664,0.001587838982231915,0.000135912739884514,4.296114921569824
35,0.0016006407095119357,0.0005867975996807218,0.0001399048131393839,4.371719598770142
36,0.0014101974666118622,0.001988606294617057,0.0001438964204470616,4.445013761520386
37,0.0008956268429756165,0.0005043698474764824,0.00014788754851810163,4.525081396102905
38,0.0015031509101390839,0.00045366675476543605,0.00015187818406502972,4.6530187129974365
39,0.0022595718037337065,0.0009220856591127813,0.0001558683138023971,4.725696325302124
40,0.002213663188740611,0.0036236124578863382,0.00015985792444683558,4.807324647903442
41,0.001415095292031765,0.0005441972170956433,0.0001638470027171119,4.88895320892334
42,0.0022282181307673454,0.0010791273089125752,0.00016783553533418258,5.014435052871704
43,0.0029545992147177458,0.0029830785933882,0.0001718235090212484,5.0881593227386475
44,0.0020041572861373425,0.0007737911655567586,0.00017581091050380905,5.172436475753784
45,0.0007476962637156248,0.0005279832403175533,0.00017979772650971788,5.244429349899292
46,0.002080360194668174,0.0005871711182408035,0.00018378394376923643,5.381153106689453
47,0.00174782145768404,0.0009247808484360576,0.00018776954901508888,5.455580472946167
48,0.0011568129993975163,0.0009691999875940382,0.00019175452898251703,5.530802011489868
49,0.00196240097284317,0.0005632297834381461,0.00019573887040933452,5.603317975997925
50,0.0023836211767047644,0.88678377866745,0.00019972256003598153,5.794388294219971
51,0.001697390340268612,0.000928265624679625,0.0001997113574564504,5.877782106399536
52,0.0006262633251026273,0.0008397253113798797,0.00019969993352306268,5.950528621673584
53,0.0011647706851363182,0.0005931268678978086,0.00019968828826400582,6.029284477233887
54,0.0019296715036034584,0.0024067414924502373,0.0001996764217080133,6.156115531921387
55,0.0006514638662338257,0.00032631249632686377,0.00019966433388436471,6.2656683921813965
56,0.000888214388396591,0.0010019257897511125,0.00019965202482288553,6.35007119178772
57,0.0018104830523952842,0.000587376591283828,0.00019963949455394713,6.4224584102630615
58,0.002206439385190606,0.0019542966037988663,0.00019962674310846672,6.558090686798096
59,0.0008426899439655244,0.00040392318624071777,0.00019961377051790725,6.69406533241272
60,0.0025155507028102875,0.0038387151435017586,0.00019960057681427722,6.766465425491333
61,0.0017223476897925138,0.0015738261863589287,0.00019958716203013086,6.839076280593872
62,0.0008822099189274013,0.0012602133210748434,0.00019957352619856777,6.972254991531372
63,0.0005429948214441538,0.0007839759928174317,0.00019955966935323306,7.1186158657073975
64,0.0016535086324438453,0.0007128375582396984,0.00019954559152831705,7.192983627319336
65,0.0008858158253133297,0.0006224290118552744,0.0001995312927585554,7.2664475440979
66,0.0012363072019070387,0.0010296860709786415,0.00019951677307922892,7.353997230529785
67,0.0022090135607868433,0.0017254309495911002,0.00019950203252616346,7.510170936584473
68,0.002247174968943,0.0007812419789843261,0.0001994870711357299,7.583794832229614
69,0.002162434160709381,0.0008224810007959604,0.00019947188894484395,7.661357879638672
70,0.0033945273607969284,0.004838414024561644,0.0001994564859909662,7.734179973602295
71,0.003468771930783987,0.0009143196512013674,0.00019944086231210182,7.877302885055542
72,0.0023040208034217358,0.000579381943680346,0.00019942501794680077,7.961465120315552
73,0.0016901356866583228,0.0011820270447060466,0.0001994089529341574,8.035003662109375
74,0.0025649815797805786,0.0023466970305889845,0.00019939266731381055,8.107784986495972
75,0.0023254796396940947,0.003036380745470524,0.0001993761611259434,8.29484510421753
76,0.0011512644123286009,0.0009045354090631008,0.00019935943441128323,8.370530128479004
77,0.0012662666849792004,0.0008935220539569855,0.00019934248721110165,8.443707942962646
78,0.00048709078691899776,0.0003337481466587633,0.00019932531956721417,8.521548986434937
79,0.001723941182717681,0.0006052926764823496,0.00019930793152198018,8.689353704452515
80,0.0007885891827754676,0.001186698442324996,0.00019929032311830303,8.766925811767578
81,0.0011769336415454745,0.002144888276234269,0.00019927249439962965,8.858184814453125
82,0.0018058144487440586,0.002282866509631276,0.00019925444540995068,8.930227041244507
83,0.002014601370319724,0.0004447156097739935,0.00019923617619380015,9.107533693313599
84,0.0021374132484197617,0.0007074897293932736,0.00019921768679625562,9.18062138557434
85,0.0016690868651494384,0.0007486311951652169,0.00019919897726293774,9.25917673110962
86,0.0018371527548879385,0.0008059200481511652,0.00019918004764001048,9.337954044342041
87,0.0020089996978640556,0.0009273102623410523,0.0001991608979741808,9.50498342514038
88,0.001995315309613943,0.0006402353174053133,0.0001991415283126986,9.580381870269775
89,0.0019331211224198341,0.0022470857948064804,0.0001991219387033566,9.653711080551147
90,0.0010019865585491061,0.0008171095978468657,0.0001991021291944902,9.749388217926025
91,0.003427826799452305,0.0012596582528203726,0.00019908209983497736,9.873733043670654
92,0.00092206837143749,0.0007473831647075713,0.0001990618506742386,9.94637680053711
93,0.0016572040040045977,0.0005513137439265847,0.00019904138176223666,10.019124984741211
94,0.0032230501528829336,0.0008923952118493617,0.00019902069314947657,10.13949966430664
95,0.0009632136207073927,0.000374368391931057,0.00019899978488700543,10.280297994613647
96,0.0010937920305877924,0.0009974909480661154,0.00019897865702641227,10.353499412536621
97,0.002826674608513713,0.004465187434107065,0.00019895730961982803,10.42832636833191
98,0.0017583814915269613,0.0009788468014448881,0.00019893574271992527,10.503614902496338
99,0.0019346922636032104,0.0015138863818719983,0.00019891395637991818,10.62359094619751
100,0.0011003625113517046,0.0002674725546967238,0.0001988919506535624,10.696878910064697
101,0.0028942811768501997,0.0014998172409832478,0.00019886972559515485,12.058490514755249
102,0.0010275330860167742,0.001542784390039742,0.00019884728125953375,12.131263494491577
103,0.0014315294101834297,0.0005685554933734238,0.00019882461770207813,12.205946207046509
104,0.003983880393207073,0.002046639798209071,0.00019880173497870813,12.281764268875122
105,0.00236882152967155,0.0009367585880681872,0.0001987786331458846,12.436704874038696
106,0.0029236841946840286,0.001962170237675309,0.00019875531226060903,12.522335529327393
107,0.0017648505745455623,0.001207622466608882,0.0001987317723804233,12.596517086029053
108,0.001045895740389824,0.0004679259436670691,0.00019870801356340983,12.671307563781738
109,0.0013786859344691038,0.0005303657380864024,0.0001986840358681911,12.799193382263184
110,0.0017969326581805944,0.0016175153432413936,0.00019865983935392966,12.910189151763916
111,0.0012263122480362654,0.0006049738149158657,0.00019863542408032802,12.99413251876831
112,0.000436484522651881,0.0003903289616573602,0.00019861079010762852,13.068594694137573
113,0.0031974632292985916,0.0015808840980753303,0.0001985859374966129,13.178264617919922
114,0.002503554103896022,0.0016348218778148293,0.00019856086630860257,13.279102563858032
115,0.0025804052129387856,0.0009228826384060085,0.00019853557660545824,13.357329845428467
116,0.0011218249564990401,0.00043991563143208623,0.00019851006844957969,13.442241907119751
117,0.0029730803798884153,0.0027264906093478203,0.00019848434190390573,13.552546977996826
118,0.0006572991842404008,0.00038117668009363115,0.00019845839703191414,13.700054407119751
119,0.0038552749902009964,0.0010051886783912778,0.00019843223389762126,13.772999048233032
120,0.002249917946755886,0.0023187724873423576,0.00019840585256558198,13.848208665847778
121,0.0008793463930487633,0.00109912792686373,0.0001983792531008897,13.97510313987732
122,0.0025041995104402304,0.0009687839192338288,0.00019835243556917592,14.087750673294067
123,0.001574571244418621,0.0006177216419018805,0.0001983254000366102,14.170143127441406
124,0.001713012345135212,0.00043914312846027315,0.00019829814656990006,14.255284309387207
125,0.0016117405612021685,0.0009563983767293394,0.00019827067523629075,14.4066481590271
126,0.003626458114013076,0.0010922683868557215,0.000198242986103565,14.485227823257446
127,0.0012156463926658034,0.00045344821410253644,0.00019821507924004303,14.561694622039795
128,0.0027795059140771627,0.0007005034713074565,0.00019818695471458223,14.634117126464844
129,0.002373742638155818,0.0017616855911910534,0.0001981586125965771,14.822449922561646
130,0.0023150057531893253,0.0010032178834080696,0.00019813005295595893,14.895035982131958
131,0.0011598607525229454,0.0005097531829960644,0.00019810127586319587,14.967370986938477
132,0.003249865025281906,0.0029380829073488712,0.0001980722813892925,15.05003046989441
133,0.0006739319069311023,0.0005933094653300941,0.0001980430696057898,15.204048871994019
134,0.0011470107128843665,0.001261579105630517,0.00019801364058476498,15.277591228485107
135,0.0015551516553387046,0.0007417316082865,0.00019798399439883117,15.354143619537354
136,0.00250852108001709,0.0005894394707866013,0.00019795413112113744,15.4378080368042
137,0.0022434270940721035,0.0011197428684681654,0.0001979240508253684,15.614642143249512
138,0.0029996437951922417,0.0010849706595763564,0.00019789375358574422,15.69404411315918
139,0.0019054680597037077,0.001084411283954978,0.00019786323947702033,15.768524408340454
140,0.0019252868369221687,0.0008070314070209861,0.00019783250857448726,15.844350576400757
141,0.0012956600403413177,0.0005413921899162233,0.00019780156095397047,15.981367588043213
142,0.0011220917804166675,0.0004115056071896106,0.0001977703966918301,16.055437803268433
143,0.001179985934868455,0.0005649542436003685,0.00019773901586496093,16.14165163040161
144,0.0016248608008027077,0.002613554708659649,0.00019770741855079196,16.217209815979004
145,0.0008876027422957122,0.0007109655416570604,0.00019767560482728647,16.41616153717041
146,0.0015794121427461505,0.0010253309737890959,0.0001976435747729416,16.49466109275818
147,0.00039555999683216214,0.00024736003251746297,0.0001976113284667884,16.571102142333984
148,0.0011705385986715555,0.0002259955508634448,0.00019757886598839141,16.646739959716797
149,0.0010327615309506655,0.0003082573239225894,0.00019754618741784852,16.816219568252563
150,0.001720352447591722,0.002338396618142724,0.0001975132928357909,16.89019250869751
151,0.0010132521856576204,0.0004088313435204327,0.00019748018232338264,16.975398778915405
152,0.001260619843378663,0.0010127086425200105,0.00019744685596232066,17.04924988746643
153,0.002112356014549732,0.0009273527539335191,0.00019741331383483444,17.16984510421753
154,0.001511191949248314,0.0004848638200201094,0.0001973795560236858,17.253340482711792
155,0.0017487218137830496,0.00048605725169181824,0.00019734558261216882,17.33030652999878
156,0.0027992844115942717,0.0020743939094245434,0.00019731139368410954,17.40312147140503
157,0.0010558732319623232,0.0002378766075707972,0.0001972769893238657,17.515714406967163
158,0.0014472410548478365,0.0006666160188615322,0.00019724236961632662,17.600112915039062
159,0.0011993558146059513,0.0006104786298237741,0.00019720753464691308,17.685960054397583
160,0.002516915090382099,0.0006216143956407905,0.00019717248450157681,17.770661115646362
161,0.0016983121167868376,0.001201661885716021,0.0001971372192668006,17.91316246986389
162,0.0020976802334189415,0.0015054105315357447,0.0001971017390295979,17.98670196533203
163,0.0017989173065871,0.0007746611954644322,0.00019706604387751268,18.059231758117676
164,0.0015278884675353765,0.00035871652653440833,0.00019703013389861916,18.143474578857422
165,0.0029103874694556,0.0006299777305684984,0.00019699400918152168,18.341923475265503
