model,image,image_sha256,snr_db,draw,noise_seed,payload_uses,scale_uses,rate_map_bits,rate_map_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,ms_ssim,lpips
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,0,162308178,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0020029342267662287,26.983333587646484,0.9646269679069519,0.10414420068264008
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,1,963342149,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0019841014873236418,27.024362564086914,0.9645676612854004,0.10511864721775055
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,2,2258634075,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0019826944917440414,27.027442932128906,0.9651159048080444,0.10059969872236252
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,3,2790212351,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.001986705232411623,27.018665313720703,0.9643439054489136,0.10489864647388458
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,4,1259171946,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.00199967622756958,26.99040412902832,0.9637612700462341,0.10393410921096802
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,5,3344109754,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.001977989450097084,27.037761688232422,0.9648768901824951,0.0982886552810669
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,6,3704916121,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0020015521440654993,26.986331939697266,0.9644812941551208,0.09697717428207397
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,7,1240141978,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0019829142838716507,27.026960372924805,0.9648028612136841,0.10388274490833282
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,8,1760099060,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0020003439858555794,26.988954544067383,0.9645147323608398,0.1042933315038681
swin_mse_c64_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,9,1557963217,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.001987243304029107,27.01749038696289,0.9641923308372498,0.09741529822349548
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,0,1847583015,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0005030515603721142,32.98387908935547,0.9703288078308105,0.10474468767642975
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,1,1712298192,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0004829059762414545,33.161376953125,0.9703350067138672,0.10794156789779663
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,2,2661747810,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.00048110674833878875,33.17758560180664,0.9698742628097534,0.11029070615768433
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,3,369895959,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0004909924464300275,33.08925247192383,0.9698015451431274,0.10627936571836472
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,4,2095440460,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0004852765705436468,33.14011001586914,0.9700974225997925,0.10538706183433533
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,5,1123466677,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0004778390284627676,33.207183837890625,0.9701194167137146,0.10632578283548355
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,6,60553645,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.000490777543745935,33.091156005859375,0.9698551893234253,0.10714583098888397
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,7,4197413953,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0004910331917926669,33.08889389038086,0.9694304466247559,0.11147399991750717
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,8,3877328360,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0004897097242064774,33.100616455078125,0.9696218967437744,0.11034423112869263
swin_mse_c64_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,9,3807261312,8192.0,32,0,0,2,0.041666666666666664,0.041839599609375,0.0004987649153918028,33.02104187011719,0.9699003100395203,0.10826744884252548
