model,image,image_sha256,snr_db,draw,noise_seed,payload_uses,scale_uses,rate_map_bits,rate_map_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,ms_ssim,lpips
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,0,162308178,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.002794085070490837,25.5376033782959,0.937354326248169,0.215781569480896
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,1,963342149,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.002752607688307762,25.602558135986328,0.9377450346946716,0.22052305936813354
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,2,2258634075,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.0027883786242455244,25.546483993530273,0.937973141670227,0.22137205302715302
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,3,2790212351,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.00278173154219985,25.556848526000977,0.9374977946281433,0.21431976556777954
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,4,1259171946,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.0027515410911291838,25.60424041748047,0.9374515414237976,0.2163146436214447
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,5,3344109754,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.0027602228801697493,25.590557098388672,0.9374176859855652,0.2152155637741089
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,6,3704916121,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.002760116010904312,25.590726852416992,0.9380393028259277,0.2143058180809021
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,7,1240141978,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.002773524262011051,25.569683074951172,0.9361954927444458,0.21641266345977783
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,8,1760099060,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.0027664094232022762,25.580835342407227,0.9373089671134949,0.22362488508224487
ntscc_quality1_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,9,1557963217,5536.0,32,1024,2048,2,0.028157552083333332,0.038747151692708336,0.002757138106971979,25.595417022705078,0.937983512878418,0.21782928705215454
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,0,1847583015,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.0008422787068411708,30.745441436767578,0.931859016418457,0.26771309971809387
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,1,1712298192,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.0008068233728408813,30.93221664428711,0.9317631125450134,0.26962199807167053
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,2,2661747810,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.0008177377749234438,30.873859405517578,0.9316267371177673,0.27441203594207764
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,3,369895959,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.0008115791715681553,30.906692504882812,0.9311825037002563,0.2609584331512451
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,4,2095440460,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.0008116861572489142,30.90612030029297,0.9313607215881348,0.26793327927589417
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,5,1123466677,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.0008002877002581954,30.967540740966797,0.931713342666626,0.2686176598072052
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,6,60553645,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.0008419469813816249,30.747154235839844,0.9322391748428345,0.26916003227233887
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,7,4197413953,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.0008194154943339527,30.864959716796875,0.9314789772033691,0.26614445447921753
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,8,3877328360,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.000829002121463418,30.81444549560547,0.9316121339797974,0.2699223458766937
ntscc_quality1_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,9,3807261312,4312.0,32,1024,2048,2,0.021931966145833332,0.032521565755208336,0.0008010337478481233,30.96349334716797,0.9316585063934326,0.27116265892982483
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,0,3687849831,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.0007197766099125147,31.428024291992188,0.9596900939941406,0.11742457002401352
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,1,2694932120,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.0007039927877485752,31.524316787719727,0.9602987170219421,0.11537791043519974
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,2,1212515068,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.0006997666205279529,31.55046844482422,0.959815263748169,0.11235357820987701
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,3,1452476945,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.0007328527863137424,31.349834442138672,0.9599133729934692,0.11523154377937317
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,4,3521783118,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.0006983667844906449,31.55916404724121,0.9595223665237427,0.12284199148416519
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,5,4270040323,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.0006977891316637397,31.56275749206543,0.9607650637626648,0.11579815298318863
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,6,3239262627,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.0007139469380490482,31.463340759277344,0.9591732025146484,0.11410817503929138
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,7,2698752677,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.0007109472062438726,31.481626510620117,0.9596818685531616,0.11226563155651093
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,8,1730656629,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.0007214838406071067,31.417734146118164,0.9597389101982117,0.11816282570362091
ntscc_quality1_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,9,1018922174,4240.0,32,1024,2048,2,0.021565755208333332,0.032155354817708336,0.00070156593574211,31.539316177368164,0.9602622389793396,0.11395777761936188
ntscc_quality1_paid_metadata,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,10.0,0,923839692,3848.0,32,1024,2048,2,0.019571940104166668,0.030161539713541668,0.00035718208528123796,34.47110366821289,0.9625460505485535,0.28270864486694336
ntscc_quality1_paid_metadata,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,10.0,1,92362124,3848.0,32,1024,2048,2,0.019571940104166668,0.030161539713541668,0.00033605724456720054,34.73586654663086,0.9626280665397644,0.28115084767341614
ntscc_quality1_paid_metadata,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,10.0,2,37744946,3848.0,32,1024,2048,2,0.019571940104166668,0.030161539713541668,0.0003432914090808481,34.64337158203125,0.9630253314971924,0.2902059555053711
ntscc_quality1_paid_metadata,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,10.0,3,1345371972,3848.0,32,1024,2048,2,0.019571940104166668,0.030161539713541668,0.0003336099616717547,34.76761245727539,0.962226390838623,0.2824639678001404
ntscc_quality1_paid_metadata,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,10.0,4,3624408447,3848.0,32,1024,2048,2,0.019571940104166668,0.030161539713541668,0.00033058979897759855,34.807106018066406,0.9621087908744812,0.2883508801460266
ntscc_quality1_paid_metadata,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,10.0,5,583767116,3848.0,32,1024,2048,2,0.019571940104166668,0.030161539713541668,0.00033571163658052683,34.74033737182617,0.9627928137779236,0.2854292392730713
ntscc_quality1_paid_metadata,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,10.0,6,3016718898,3848.0,32,1024,2048,2,0.019571940104166668,0.030161539713541668,0.00034440550371073186,34.62929916381836,0.9624866247177124,0.2798888087272644
