model,image,image_sha256,draw,noise_seed,rounds,snr_db,height,width,cbr_payload,mse,psnr,ms_ssim,ms_ssim_db,lpips
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,0,100007070,1,10,256,256,0.041666666666666664,0.005282208323478699,22.7718448638916,0.887415885925293,9.485228538513184,0.4652632772922516
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,1,100007071,1,10,256,256,0.041666666666666664,0.00525084650143981,22.797706604003906,0.8924991488456726,9.685880661010742,0.4651365578174591
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,2,100007072,1,10,256,256,0.041666666666666664,0.005254780407994986,22.79445457458496,0.8898639678955078,9.580705642700195,0.4643970727920532
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,3,100007073,1,10,256,256,0.041666666666666664,0.005270903464406729,22.781150817871094,0.8872768878936768,9.479869842529297,0.465554803609848
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,4,100007074,1,10,256,256,0.041666666666666664,0.005287885665893555,22.767179489135742,0.8888592720031738,9.541267395019531,0.4650076925754547
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,5,100007075,1,10,256,256,0.041666666666666664,0.0051962872967123985,22.84307098388672,0.8889299631118774,9.544031143188477,0.47277310490608215
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,6,100007076,1,10,256,256,0.041666666666666664,0.0053203413262963295,22.74060821533203,0.8871786594390869,9.476088523864746,0.4647998511791229
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,7,100007077,1,10,256,256,0.041666666666666664,0.00521713076159358,22.82568359375,0.8918322324752808,9.659022331237793,0.4632534980773926
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,8,100007078,1,10,256,256,0.041666666666666664,0.005235007964074612,22.810829162597656,0.8926383256912231,9.691507339477539,0.46133288741111755
DeepJSCC-f_author_DIV2K,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,9,100007079,1,10,256,256,0.041666666666666664,0.005172900855541229,22.862659454345703,0.8884844779968262,9.526647567749023,0.4633163809776306
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,0,100017070,1,10,256,256,0.041666666666666664,0.0032372174318879843,24.898283004760742,0.8839352130889893,9.352994918823242,0.34792274236679077
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,1,100017071,1,10,256,256,0.041666666666666664,0.003138959873467684,25.032140731811523,0.8822259306907654,9.28950309753418,0.349662184715271
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,2,100017072,1,10,256,256,0.041666666666666664,0.0033930842764675617,24.694053649902344,0.8827954530715942,9.310555458068848,0.3418112099170685
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,3,100017073,1,10,256,256,0.041666666666666664,0.003260557074099779,24.867080688476562,0.8808615207672119,9.239480018615723,0.3534463346004486
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,4,100017074,1,10,256,256,0.041666666666666664,0.003250253852456808,24.880826950073242,0.8807412981987,9.235098838806152,0.34360048174858093
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,5,100017075,1,10,256,256,0.041666666666666664,0.003190063638612628,24.962007522583008,0.8803085088729858,9.219367980957031,0.3425880968570709
