dataset,image,snr_db,speed_kmh,channel_seed,h1_real,h1_imag,h2_real,h2_imag,method,nack,scale_bits,payload_uses,total_uses,mse,psnr,ms_ssim,lpips,outage
div2k,0821.png,0.0,30.0,866290432,0.9620496034622192,0.6086687445640564,0.9066399335861206,0.9454483985900879,SwinJSCC_author_one_shot,0,16,4096,4130,0.0029522820841521025,25.298421489703248,0.7849991321563721,0.2928597629070282,0
div2k,0821.png,0.0,30.0,866290432,0.9620496034622192,0.6086687445640564,0.9066399335861206,0.9454483985900879,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0004583111731335521,33.38839554993707,0.9731181859970093,0.14685553312301636,0
div2k,0821.png,0.0,30.0,866290432,0.9620496034622192,0.6086687445640564,0.9066399335861206,0.9454483985900879,same_codec_direct,0,4096,4096,12290,0.005529098212718964,22.573456956711254,0.7642945647239685,0.5030725598335266,1
div2k,0821.png,0.0,30.0,866290432,0.9620496034622192,0.6086687445640564,0.9066399335861206,0.9454483985900879,same_codec_full_HARQ,1,4096,8192,16388,0.004213067702949047,23.754015618128793,0.8051531314849854,0.46316206455230713,1
div2k,0821.png,0.0,30.0,866290432,0.9620496034622192,0.6086687445640564,0.9066399335861206,0.9454483985900879,adaptive_HARQ,1,4096,8192,16388,0.004213067702949047,23.754015618128793,0.8051531314849854,0.46316206455230713,1
div2k,0821.png,0.0,30.0,866290432,0.9620496034622192,0.6086687445640564,0.9066399335861206,0.9454483985900879,FlowHARQ,1,4096,8192,16388,0.004213067702949047,23.754015618128793,0.8051531314849854,0.46316206455230713,1
div2k,0821.png,0.0,60.0,617561776,1.256019949913025,0.7835365533828735,0.11762869358062744,-0.5682656764984131,SwinJSCC_author_one_shot,0,16,4096,4130,0.0005777608603239059,32.38251882223731,0.9557855129241943,0.1807764172554016,0
div2k,0821.png,0.0,60.0,617561776,1.256019949913025,0.7835365533828735,0.11762869358062744,-0.5682656764984131,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0005084042204543948,32.937908528614464,0.9679672718048096,0.15810851752758026,0
div2k,0821.png,0.0,60.0,617561776,1.256019949913025,0.7835365533828735,0.11762869358062744,-0.5682656764984131,same_codec_direct,0,4096,4096,12290,0.004261647816747427,23.704224433038895,0.8111090660095215,0.45393872261047363,1
div2k,0821.png,0.0,60.0,617561776,1.256019949913025,0.7835365533828735,0.11762869358062744,-0.5682656764984131,same_codec_full_HARQ,1,4096,8192,16388,0.004135164897888899,23.83507167413653,0.8182887434959412,0.45174235105514526,1
div2k,0821.png,0.0,60.0,617561776,1.256019949913025,0.7835365533828735,0.11762869358062744,-0.5682656764984131,adaptive_HARQ,1,4096,8192,16388,0.004135164897888899,23.83507167413653,0.8182887434959412,0.45174235105514526,1
div2k,0821.png,0.0,60.0,617561776,1.256019949913025,0.7835365533828735,0.11762869358062744,-0.5682656764984131,FlowHARQ,0,4096,4096,12290,0.004034451674669981,23.942154822174775,0.8419182300567627,0.4545952081680298,1
div2k,0821.png,0.0,90.0,3109746320,0.4813844859600067,1.0961809158325195,-0.15085133910179138,-0.4153654873371124,SwinJSCC_author_one_shot,0,16,4096,4130,0.00154932402074337,28.098577457624664,0.8779541254043579,0.25639608502388,0
div2k,0821.png,0.0,90.0,3109746320,0.4813844859600067,1.0961809158325195,-0.15085133910179138,-0.4153654873371124,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0011147535406053066,29.52821139599207,0.9113427400588989,0.23428690433502197,0
div2k,0821.png,0.0,90.0,3109746320,0.4813844859600067,1.0961809158325195,-0.15085133910179138,-0.4153654873371124,same_codec_direct,0,4096,4096,12290,0.0053230514749884605,22.738393340911273,0.7761198282241821,0.47538822889328003,1
div2k,0821.png,0.0,90.0,3109746320,0.4813844859600067,1.0961809158325195,-0.15085133910179138,-0.4153654873371124,same_codec_full_HARQ,1,4096,8192,16388,0.004983271937817335,23.024854126742103,0.777233362197876,0.46774664521217346,1
div2k,0821.png,0.0,90.0,3109746320,0.4813844859600067,1.0961809158325195,-0.15085133910179138,-0.4153654873371124,adaptive_HARQ,1,4096,8192,16388,0.004983271937817335,23.024854126742103,0.777233362197876,0.46774664521217346,1
