step,loss,grad_norm,lr,elapsed_s
1,0.0017810601275414228,0.0010087961563840508,1.9999999306043452e-05,1.4137775897979736
2,0.0024128525983542204,0.0044165742583572865,3.9999994448347814e-05,1.6878209114074707
3,0.0015357721131294966,0.00028878386365249753,5.9999981263175064e-05,1.9564366340637207
4,0.0008844842668622732,0.00033764910767786205,7.999995558678933e-05,2.2209630012512207
5,0.002032823860645294,0.0008009041775949299,9.999991325545793e-05,2.4850707054138184
6,0.0013627447187900543,0.0006983368657529354,0.00011999985010545252,2.746466636657715
7,0.0016687990864738822,0.0003941507311537862,0.00013999976197305,3.0156466960906982
8,0.002067399676889181,0.0005922709824517369,0.0001599996446945338,3.2820615768432617
9,0.0010220044059678912,0.0006788912578485906,0.00017999949410619473,3.550997018814087
10,0.0028328499756753445,0.0025010276585817337,0.00019999930604433237,3.8151402473449707
11,0.002177146729081869,0.0015910917427390814,0.00021999907634525563,4.0728936195373535
12,0.00218376237899065,0.0013935572933405638,0.00023999880084528438,4.2972166538238525
13,0.0013857462909072638,0.0007399394526146352,0.0002599984753807501,4.564419984817505
14,0.001102855196222663,0.0008167509222403169,0.0002799980957879972,4.828305959701538
15,0.0021499828435480595,0.0017427062848582864,0.00029999765790338393,5.094330549240112
16,0.0013147995341569185,0.0005723449867218733,0.00031999715756328374,5.360071659088135
17,0.0024300809018313885,0.0006168738473206758,0.0003399965906040858,5.624957084655762
18,0.001339143025688827,0.0017583451699465513,0.00035999595286219653,5.890140771865845
19,0.004351916257292032,0.001581651042215526,0.00037999524017404075,6.152588844299316
20,0.0014793317532166839,0.0010100820800289512,0.00039999444837606217,6.422982931137085
21,0.002714890753850341,0.0010301106376573443,0.00041999357330472516,6.690419912338257
22,0.0017450014129281044,0.00041514792246744037,0.0004399926107965153,6.955963850021362
23,0.002135839778929949,0.0011077923700213432,0.0004599915566879408,7.217412710189819
24,0.0016173770418390632,0.0006408147164620459,0.00047999040681553315,7.481134653091431
25,0.0027921805158257484,0.002984721912071109,0.0004999891570158488,7.7470481395721436
26,0.005407078191637993,0.8226727247238159,0.0005199878031254697,8.007041931152344
27,0.0020132935605943203,0.003078297944739461,0.0005399863409810044,8.246288776397705
28,0.0018084330949932337,0.0007475423044525087,0.0005599847664190897,8.492328405380249
29,0.0009127035737037659,0.000446662656031549,0.0005799830752763905,8.753437757492065
30,0.0014223180478438735,0.001855124020949006,0.0005999812633896029,9.018815517425537
31,0.0006980837788432837,0.001238341792486608,0.0006199793265954528,9.282737493515015
32,0.0018298437353223562,0.0010190706234425306,0.0006399772607306991,9.547640085220337
33,0.0013822631444782019,0.0008736493764445186,0.0006599750616321332,9.80705976486206
34,0.002283445093780756,0.002139332704246044,0.0006799727251365812,10.07119083404541
35,0.0016253804787993431,0.000992347369901836,0.0006999702470809043,10.333008050918579
36,0.0014426152920350432,0.0019529638811945915,0.000719967623302,10.594830989837646
37,0.0008962795836851001,0.00026997964596375823,0.0007399648496368039,10.861666440963745
38,0.001534556387923658,0.0008765264065004885,0.0007599619219222892,11.121442317962646
39,0.002280154963955283,0.0014591626822948456,0.0007799588359954693,11.383751392364502
40,0.002211044542491436,0.0026714990381151438,0.0007999555876933978,11.648139715194702
41,0.0014241778990253806,0.0010139299556612968,0.0008199521728531707,11.915161371231079
42,0.0022451996337622404,0.0020824612583965063,0.0008399485873119262,12.18159008026123
43,0.0029830546118319035,0.002891806187108159,0.0008599448269068467,12.410528421401978
44,0.0020713829435408115,0.0031998332124203444,0.0008799408874751593,12.657299518585205
45,0.0007711421931162477,0.0013701529242098331,0.0008999367648541374,12.92048692703247
46,0.0021047734189778566,0.0010103619424626231,0.0009199324548811011,13.18569278717041
47,0.0017545409500598907,0.0007145851850509644,0.0009399279533934193,13.445704460144043
48,0.001173510099761188,0.0021952250972390175,0.0009599232562285094,13.710411310195923
49,0.0019712699577212334,0.0006431930232793093,0.0009799183592238397,13.976969480514526
