image,method,snr_db,speed_kmh,csi_age_ms,harq_interval_ms,round_correlation,first_gain_sq,second_gain_sq,effective_snr_db,psnr,ssim,mse,ms_ssim,ms_ssim_db,cbr_payload,psnr_outage,lpips,nack,transmission_rounds,predicted_direct_psnr,predicted_fm_psnr,predicted_direct_psnr_raw,predicted_fm_psnr_raw,mask_rate,flow_steps,mask_threshold,target_psnr,direct_quality_bias,fm_quality_bias,calibration_json,split,training_seed,channel_seed
0821.png,direct,0.0,30.0,2.0,1.0,0.7516456842422485,0.21327383816242218,0.0655275359749794,-6.7106242179870605,19.827268600463867,0.5157374739646912,0.01040574349462986,0.6764695048332214,4.900847434997559,0.020833333333333332,1,0.5526515245437622,0,1,18.317424774169922,18.438867568969727,17.803205490112305,17.96169090270996,0.58203125,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0822.png,direct,0.0,30.0,2.0,1.0,0.7516456842422485,1.3641078472137451,1.098791480064392,1.348487138748169,22.576807022094727,0.5035533905029297,0.005524836014956236,0.7481624484062195,5.988795280456543,0.020833333333333332,1,0.560633659362793,0,1,21.8304500579834,22.05488395690918,21.31623077392578,21.577707290649414,0.2109375,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0823.png,direct,0.0,30.0,2.0,1.0,0.7516456842422485,1.7950825691223145,0.6592531800270081,2.540844440460205,19.77052879333496,0.5144662857055664,0.01054258644580841,0.7863172292709351,6.702304840087891,0.020833333333333332,1,0.6080478429794312,0,1,19.245447158813477,19.2806396484375,18.73122787475586,18.803462982177734,0.16796875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0824.png,direct,0.0,30.0,2.0,1.0,0.7516456842422485,1.159545660018921,2.076486825942993,0.642878532409668,17.74798583984375,0.483353853225708,0.016795828938484192,0.7794021368026733,6.5639872550964355,0.020833333333333332,1,0.6113379001617432,0,1,17.761367797851562,17.887176513671875,17.247148513793945,17.40999984741211,0.171875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0821.png,full_harq,0.0,30.0,2.0,1.0,0.7516456842422485,0.21327383816242218,0.0655275359749794,-6.7106242179870605,20.532014846801758,0.5281563997268677,0.008847055956721306,0.702542781829834,5.2657551765441895,0.041666666666666664,1,0.5396103858947754,1,2,18.317424774169922,18.438867568969727,17.803205490112305,17.96169090270996,0.58203125,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0822.png,full_harq,0.0,30.0,2.0,1.0,0.7516456842422485,1.3641078472137451,1.098791480064392,1.348487138748169,23.179731369018555,0.5292354822158813,0.004808690398931503,0.785995364189148,6.695768356323242,0.041666666666666664,1,0.5119721293449402,1,2,21.8304500579834,22.05488395690918,21.31623077392578,21.577707290649414,0.2109375,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0823.png,full_harq,0.0,30.0,2.0,1.0,0.7516456842422485,1.7950825691223145,0.6592531800270081,2.540844440460205,20.025157928466797,0.5285496711730957,0.009942242875695229,0.804419755935669,7.086750030517578,0.041666666666666664,1,0.5902397036552429,1,2,19.245447158813477,19.2806396484375,18.73122787475586,18.803462982177734,0.16796875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0824.png,full_harq,0.0,30.0,2.0,1.0,0.7516456842422485,1.159545660018921,2.076486825942993,0.642878532409668,18.43032455444336,0.5198143124580383,0.014353825710713863,0.8299610018730164,7.694515228271484,0.041666666666666664,1,0.588361382484436,1,2,17.761367797851562,17.887176513671875,17.247148513793945,17.40999984741211,0.171875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0821.png,fm_only,0.0,30.0,2.0,1.0,0.7516456842422485,0.21327383816242218,0.0655275359749794,-6.7106242179870605,19.87990379333496,0.5268392562866211,0.010280389338731766,0.6663898229598999,4.767607688903809,0.020833333333333332,1,0.5285623073577881,0,1,18.317424774169922,18.438867568969727,17.803205490112305,17.96169090270996,0.58203125,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0822.png,fm_only,0.0,30.0,2.0,1.0,0.7516456842422485,1.3641078472137451,1.098791480064392,1.348487138748169,22.677934646606445,0.5057346820831299,0.005397675558924675,0.7478176951408386,5.98285436630249,0.020833333333333332,1,0.5629258155822754,0,1,21.8304500579834,22.05488395690918,21.31623077392578,21.577707290649414,0.2109375,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0823.png,fm_only,0.0,30.0,2.0,1.0,0.7516456842422485,1.7950825691223145,0.6592531800270081,2.540844440460205,19.78807258605957,0.5140434503555298,0.01050008088350296,0.78630131483078,6.701982021331787,0.020833333333333332,1,0.6094509363174438,0,1,19.245447158813477,19.2806396484375,18.73122787475586,18.803462982177734,0.16796875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0824.png,fm_only,0.0,30.0,2.0,1.0,0.7516456842422485,1.159545660018921,2.076486825942993,0.642878532409668,17.765785217285156,0.4825313091278076,0.016727134585380554,0.7757593989372253,6.492857456207275,0.020833333333333332,1,0.6179847717285156,0,1,17.761367797851562,17.887176513671875,17.247148513793945,17.40999984741211,0.171875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0821.png,adaptive_harq,0.0,30.0,2.0,1.0,0.7516456842422485,0.21327383816242218,0.0655275359749794,-6.7106242179870605,20.532014846801758,0.5281563997268677,0.008847055956721306,0.702542781829834,5.2657551765441895,0.041666666666666664,1,0.5396103858947754,1,2,18.317424774169922,18.438867568969727,17.803205490112305,17.96169090270996,0.58203125,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0822.png,adaptive_harq,0.0,30.0,2.0,1.0,0.7516456842422485,1.3641078472137451,1.098791480064392,1.348487138748169,23.179731369018555,0.5292354822158813,0.004808690398931503,0.785995364189148,6.695768356323242,0.041666666666666664,1,0.5119721293449402,1,2,21.8304500579834,22.05488395690918,21.31623077392578,21.577707290649414,0.2109375,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0823.png,adaptive_harq,0.0,30.0,2.0,1.0,0.7516456842422485,1.7950825691223145,0.6592531800270081,2.540844440460205,20.025157928466797,0.5285496711730957,0.009942242875695229,0.804419755935669,7.086750030517578,0.041666666666666664,1,0.5902397036552429,1,2,19.245447158813477,19.2806396484375,18.73122787475586,18.803462982177734,0.16796875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0824.png,adaptive_harq,0.0,30.0,2.0,1.0,0.7516456842422485,1.159545660018921,2.076486825942993,0.642878532409668,18.43032455444336,0.5198143124580383,0.014353825710713863,0.8299610018730164,7.694515228271484,0.041666666666666664,1,0.588361382484436,1,2,17.761367797851562,17.887176513671875,17.247148513793945,17.40999984741211,0.171875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
