image,method,snr_db,speed_kmh,csi_age_ms,harq_interval_ms,round_correlation,first_gain_sq,second_gain_sq,effective_snr_db,psnr,ssim,mse,ms_ssim,ms_ssim_db,cbr_payload,psnr_outage,lpips,nack,transmission_rounds,predicted_direct_psnr,predicted_fm_psnr,predicted_direct_psnr_raw,predicted_fm_psnr_raw,mask_rate,flow_steps,mask_threshold,target_psnr,direct_quality_bias,fm_quality_bias,calibration_json,split,training_seed,channel_seed
01.png,direct,0.0,30.0,2.0,1.0,0.7516456842422485,0.21327383816242218,0.0655275359749794,-6.7106242179870605,18.20781135559082,0.29762962460517883,0.015108413994312286,0.5269917249679565,3.251312732696533,0.020833333333333332,1,0.7725198268890381,0,1,16.89313507080078,16.813369750976562,16.378915786743164,16.23734474182129,0.19921875,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
02.png,direct,0.0,30.0,2.0,1.0,0.7516456842422485,1.3641078472137451,1.098791480064392,1.348487138748169,21.838376998901367,0.591751217842102,0.006548809818923473,0.7648240327835083,6.286070823669434,0.020833333333333332,1,0.5689415335655212,0,1,21.443449020385742,22.034748077392578,20.929229736328125,21.458723068237305,0.30078125,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
03.png,direct,0.0,30.0,2.0,1.0,0.7516456842422485,1.7950825691223145,0.6592531800270081,2.540844440460205,22.143232345581055,0.6350525617599487,0.006104875355958939,0.7994773387908936,6.978364944458008,0.020833333333333332,1,0.4684199094772339,0,1,23.763290405273438,24.566242218017578,23.24907112121582,23.990217208862305,0.39453125,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
04.png,direct,0.0,30.0,2.0,1.0,0.7516456842422485,1.159545660018921,2.076486825942993,0.642878532409668,25.77958106994629,0.7704586386680603,0.0026426631957292557,0.8726035952568054,8.948429107666016,0.020833333333333332,0,0.5323633551597595,0,1,26.473468780517578,27.12654685974121,25.95924949645996,26.550521850585938,0.24609375,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
01.png,full_harq,0.0,30.0,2.0,1.0,0.7516456842422485,0.21327383816242218,0.0655275359749794,-6.7106242179870605,18.475223541259766,0.31312295794487,0.014206192456185818,0.5625830292701721,3.591043710708618,0.041666666666666664,1,0.7673014998435974,1,2,16.89313507080078,16.813369750976562,16.378915786743164,16.23734474182129,0.19921875,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
02.png,full_harq,0.0,30.0,2.0,1.0,0.7516456842422485,1.3641078472137451,1.098791480064392,1.348487138748169,22.11974334716797,0.6059287786483765,0.0061379848048090935,0.7943613529205322,6.868952751159668,0.041666666666666664,1,0.5383197665214539,1,2,21.443449020385742,22.034748077392578,20.929229736328125,21.458723068237305,0.30078125,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
03.png,full_harq,0.0,30.0,2.0,1.0,0.7516456842422485,1.7950825691223145,0.6592531800270081,2.540844440460205,22.58204460144043,0.647657036781311,0.005518175661563873,0.8186227679252625,7.414172172546387,0.041666666666666664,1,0.442410409450531,1,2,23.763290405273438,24.566242218017578,23.24907112121582,23.990217208862305,0.39453125,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
04.png,full_harq,0.0,30.0,2.0,1.0,0.7516456842422485,1.159545660018921,2.076486825942993,0.642878532409668,26.667158126831055,0.7941635847091675,0.0021541917230933905,0.912885308265686,10.59908676147461,0.041666666666666664,0,0.48867833614349365,1,2,26.473468780517578,27.12654685974121,25.95924949645996,26.550521850585938,0.24609375,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
01.png,fm_only,0.0,30.0,2.0,1.0,0.7516456842422485,0.21327383816242218,0.0655275359749794,-6.7106242179870605,18.077800750732422,0.2913222312927246,0.015567533671855927,0.5098443031311035,3.0966594219207764,0.020833333333333332,1,0.7874142527580261,0,1,16.89313507080078,16.813369750976562,16.378915786743164,16.23734474182129,0.19921875,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
02.png,fm_only,0.0,30.0,2.0,1.0,0.7516456842422485,1.3641078472137451,1.098791480064392,1.348487138748169,23.452316284179688,0.6053733825683594,0.004516151733696461,0.7525998950004578,6.066001892089844,0.020833333333333332,1,0.5813579559326172,0,1,21.443449020385742,22.034748077392578,20.929229736328125,21.458723068237305,0.30078125,4,0.8,24.0,0.5142191827297211,0.5760243137677511,/home/sheng/flowmatching_vtc2027/results/h3/main_oracle_seed2027/decision.json,all,2027,7070
