step,loss,grad_norm,lr,elapsed_s
1,0.0017810601275414228,0.0010057971812784672,1.9999999306043452e-05,1.0887765884399414
2,0.0024128516670316458,0.004415743984282017,3.9999994448347814e-05,1.1892633438110352
3,0.001535765826702118,0.00028210904565639794,5.9999981263175064e-05,1.2899327278137207
4,0.0008844241383485496,0.00033794264891184866,7.999995558678933e-05,1.3885462284088135
5,0.0020329037215560675,0.0007980416412465274,9.999991325545793e-05,1.488121509552002
6,0.0013628134038299322,0.0006835281383246183,0.00011999985010545252,1.5794520378112793
7,0.0016687565948814154,0.0003881435259245336,0.00013999976197305,1.6754744052886963
8,0.0020674874540418386,0.0006096363067626953,0.0001599996446945338,1.7674665451049805
9,0.001022174721583724,0.0006625276291742921,0.00017999949410619473,1.8595695495605469
10,0.0028326031751930714,0.0024867735337466,0.00019999930604433237,1.9549336433410645
11,0.0021770326420664787,0.0015814182115718722,0.00021999907634525563,2.052985906600952
12,0.002183837816119194,0.001372946659103036,0.00023999880084528438,2.1454455852508545
13,0.0013857560697942972,0.0007266807951964438,0.0002599984753807501,2.2409260272979736
14,0.001102758338674903,0.0008116782992146909,0.0002799980957879972,2.3346595764160156
15,0.002150308107957244,0.0017759471666067839,0.00029999765790338393,2.430382490158081
16,0.0013151057064533234,0.000599225633777678,0.00031999715756328374,2.526338815689087
17,0.0024301158264279366,0.000632500508800149,0.0003399965906040858,2.62194561958313
18,0.0013387583894655108,0.0018152041593566537,0.00035999595286219653,2.7176380157470703
19,0.004353032913058996,0.0016392848920077085,0.00037999524017404075,2.8096184730529785
20,0.001480582170188427,0.0010593760525807738,0.00039999444837606217,2.902129888534546
21,0.002715471899136901,0.0010647468734532595,0.00041999357330472516,2.9941341876983643
22,0.0017447745194658637,0.00041416584281250834,0.0004399926107965153,3.0902857780456543
23,0.002137253526598215,0.0011563657317310572,0.0004599915566879408,3.1852498054504395
24,0.0016170631861314178,0.0007098999340087175,0.00047999040681553315,3.2806220054626465
25,0.0027920790016651154,0.0030018347315490246,0.0004999891570158488,3.377089500427246
26,0.0020273644477128983,0.28671151399612427,0.0005199878031254697,3.4752607345581055
27,0.002013065619394183,0.0030390629544854164,0.0005399863409810044,3.567159414291382
28,0.0018053551902994514,0.0004295938997529447,0.0005599847664190897,3.6594011783599854
29,0.000908686954062432,0.00024208608374465257,0.0005799830752763905,3.752528667449951
30,0.0014082384295761585,0.0015664146048948169,0.0005999812633896029,3.8507161140441895
31,0.0006902674213051796,0.0007440702174790204,0.0006199793265954528,3.94347882270813
32,0.0018282316159456968,0.0007465840899385512,0.0006399772607306991,4.035213232040405
33,0.001369446748867631,0.0004873361613135785,0.0006599750616321332,4.126655101776123
