dataset,policy,margin_db,always_nack,cases,ack_count,ack_coverage,nack,joint_false_ack,conditional_false_ack,final_outage,charged_uses,psnr,mse,lpips,ssim,calibration_selected
calibration,adaptive_harq,0.0,False,480,154,0.32083333333333336,0.6791666666666667,0.022916666666666665,0.07142857142857142,0.6041666666666666,15073.225,22.76644068559011,0.006331570078381194,0.49657254995157324,0.5996888666103284,False
calibration,adaptive_harq,0.25,False,480,148,0.30833333333333335,0.6916666666666667,0.020833333333333332,0.06756756756756757,0.6041666666666666,15124.449999999999,22.776866785685222,0.006324007909470999,0.49634512681514026,0.5999995658795039,False
calibration,adaptive_harq,0.5,False,480,139,0.28958333333333336,0.7104166666666667,0.016666666666666666,0.05755395683453238,0.6020833333333333,15201.2875,22.78404777844747,0.006318096826819056,0.4961019951229294,0.600204429278771,False
calibration,adaptive_harq,1.0,False,480,118,0.24583333333333332,0.7541666666666667,0.00625,0.025423728813559324,0.5979166666666667,15380.574999999999,22.798395494620006,0.006307913635732796,0.49561505249390997,0.6006752709547679,True
calibration,adaptive_harq,2.0,False,480,70,0.14583333333333334,0.8541666666666666,0.0,0.0,0.5979166666666667,15790.375,22.832273070017497,0.006287331874089986,0.4944099468489488,0.601869194333752,False
calibration,adaptive_harq,4.0,False,480,0,0.0,1.0,0.0,,0.5979166666666667,16388.0,22.851683175563814,0.00627645177397237,0.49371589105576275,0.6025651104748249,False
calibration,adaptive_harq,,True,480,0,0.0,1.0,0.0,,0.5979166666666667,16388.0,22.851683175563814,0.00627645177397237,0.49371589105576275,0.6025651104748249,False
calibration,flowharq,0.0,False,480,159,0.33125,0.66875,0.027083333333333334,0.08176100628930817,0.6083333333333333,15030.5375,22.789533106486,0.006317264647694696,0.49723991348097724,0.6002470651020606,False
calibration,flowharq,0.25,False,480,156,0.325,0.675,0.025,0.07692307692307693,0.6083333333333333,15056.15,22.791208064556123,0.006315929941471334,0.4971518745645881,0.6003258629391591,False
calibration,flowharq,0.5,False,480,148,0.30833333333333335,0.6916666666666667,0.022916666666666665,0.07432432432432433,0.60625,15124.449999999999,22.793088388442992,0.006314309437337494,0.49682004743566116,0.6005059408644835,False
calibration,flowharq,1.0,False,480,129,0.26875,0.73125,0.0125,0.046511627906976744,0.6,15286.6625,22.80739509264628,0.006303011078347858,0.49615170564502475,0.6008881169060866,True
calibration,flowharq,2.0,False,480,74,0.15416666666666667,0.8458333333333333,0.0,0.0,0.5979166666666667,15756.225,22.839148167769114,0.006283531558519894,0.4943843582645059,0.602156039327383,False
calibration,flowharq,4.0,False,480,0,0.0,1.0,0.0,,0.5979166666666667,16388.0,22.851683175563814,0.00627645177397237,0.49371589105576275,0.6025651104748249,False
calibration,flowharq,,True,480,0,0.0,1.0,0.0,,0.5979166666666667,16388.0,22.851683175563814,0.00627645177397237,0.49371589105576275,0.6025651104748249,False
div2k,adaptive_harq,0.0,False,5760,1502,0.2607638888888889,0.7392361111111111,0.034027777777777775,0.13049267643142476,0.709375,15319.389583333334,21.921649260156684,0.008622151905811316,0.4856134898365579,0.5885744464143904,False
div2k,adaptive_harq,0.25,False,5760,1383,0.24010416666666667,0.7598958333333333,0.025347222222222222,0.10556760665220535,0.7067708333333333,15404.053125,21.92941122800112,0.00861630338149796,0.4853081015792365,0.5888054282378612,False
div2k,adaptive_harq,0.5,False,5760,1246,0.21631944444444445,0.7836805555555555,0.017013888888888887,0.07865168539325842,0.7046875,15501.522916666667,21.938590065472656,0.008609531458898511,0.48494809579828546,0.5890768943949499,False
div2k,adaptive_harq,1.0,False,5760,1047,0.18177083333333333,0.8182291666666667,0.009027777777777777,0.049665711556829036,0.7032986111111111,15643.103125,21.949671521948442,0.008601856848678337,0.4844700599684276,0.5894256910852467,True
div2k,adaptive_harq,2.0,False,5760,656,0.11388888888888889,0.8861111111111111,0.0006944444444444445,0.006097560975609756,0.6998263888888889,15921.283333333333,21.968350717590916,0.00859006808379121,0.48385433142539114,0.5899278657329786,False
div2k,adaptive_harq,4.0,False,5760,337,0.058506944444444445,0.9414930555555555,0.0,0.0,0.6991319444444445,16148.238541666668,21.988075662155946,0.008581371954800578,0.4833228394156322,0.5903170798879324,False
div2k,adaptive_harq,,True,5760,0,0.0,1.0,0.0,,0.6991319444444445,16388.0,21.994955921669803,0.00857940055086093,0.48299505169658613,0.5904802409906147,False
div2k,flowharq,0.0,False,5760,1607,0.27899305555555554,0.7210069444444445,0.03819444444444445,0.13690105787181084,0.7067708333333333,15244.686458333334,21.948508575393095,0.008605742762622227,0.48719783016325285,0.5894570030556577,False
div2k,flowharq,0.25,False,5760,1477,0.2564236111111111,0.7435763888888889,0.027430555555555555,0.1069735951252539,0.7034722222222223,15337.176041666668,21.9559515186482,0.008599868824502697,0.48661594204604625,0.5896599810492869,False
div2k,flowharq,0.5,False,5760,1342,0.23298611111111112,0.7670138888888889,0.019618055555555555,0.08420268256333831,0.7019097222222223,15433.222916666668,21.961196812490623,0.008595882449055433,0.4861665182151935,0.5897358510099973,False
div2k,flowharq,1.0,False,5760,1113,0.19322916666666667,0.8067708333333333,0.007465277777777778,0.03863432165318958,0.6996527777777778,15596.146875,21.97053566922744,0.008588879163647851,0.48532895856640407,0.5899848292659348,True
div2k,flowharq,2.0,False,5760,689,0.11961805555555556,0.8803819444444444,0.00017361111111111112,0.001451378809869376,0.6993055555555555,15897.805208333333,21.981557142900098,0.008583261738940518,0.48437488021639485,0.5902116182389565,False
div2k,flowharq,4.0,False,5760,350,0.06076388888888889,0.9392361111111112,0.0,0.0,0.6991319444444445,16138.989583333334,21.993532709446217,0.008579159731369815,0.4834762723935354,0.5903632547887456,False
div2k,flowharq,,True,5760,0,0.0,1.0,0.0,,0.6991319444444445,16388.0,21.994955921669803,0.00857940055086093,0.48299505169658613,0.5904802409906147,False
kodak,adaptive_harq,0.0,False,1728,493,0.28530092592592593,0.7146990740740741,0.14641203703703703,0.513184584178499,0.8321759259259259,15218.836805555555,22.043518513992982,0.007201105403490248,0.5226228712816481,0.5842829113308754,False
kodak,adaptive_harq,0.25,False,1728,447,0.2586805555555556,0.7413194444444444,0.12210648148148148,0.4720357941834452,0.8304398148148148,15327.927083333334,22.05053484936555,0.007193927452788694,0.5222001843395885,0.5845711991984259,False
kodak,adaptive_harq,0.5,False,1728,411,0.2378472222222222,0.7621527777777778,0.10300925925925926,0.43309002433090027,0.8304398148148148,15413.302083333332,22.05401275720861,0.007190672245580462,0.5219474015067573,0.5847169310026975,False
kodak,adaptive_harq,1.0,False,1728,323,0.1869212962962963,0.8130787037037037,0.05960648148148148,0.3188854489164087,0.8287037037037037,15621.996527777777,22.063870378666454,0.007182004774352751,0.5212831678800285,0.5851245735496007,True
kodak,adaptive_harq,2.0,False,1728,194,0.11226851851851852,0.8877314814814815,0.009837962962962963,0.08762886597938144,0.8194444444444444,15927.923611111111,22.075979110819322,0.007171677281388589,0.5204997932089975,0.5855631312113945,False
kodak,adaptive_harq,4.0,False,1728,94,0.05439814814814815,0.9456018518518519,0.0,0.0,0.8188657407407407,16165.07638888889,22.089638558250886,0.007163759938837539,0.5195691164893409,0.5859392418664087,False
kodak,adaptive_harq,,True,1728,0,0.0,1.0,0.0,,0.8188657407407407,16388.0,22.100221252551787,0.00715958006855174,0.5185529716416366,0.5862323491558157,False
kodak,flowharq,0.0,False,1728,526,0.30439814814814814,0.6956018518518519,0.15104166666666666,0.49619771863117873,0.8263888888888888,15140.57638888889,22.078464739300586,0.007174092961924171,0.5243322392580686,0.5841215421031747,False
